NAME,TEXT,COUNT,C1_TEXT,C1_EFFECT,C2_TEXT,C2_EFFECT
도둑질,아침부터 사람들은 큰 목소리로 격분하고 있었다.de새벽 사이에d 공동으로 배분하던 식량들 중 일부가 사라져 있었기 때문이다.de분명 보초가 방심하는 틈을 타d 우리들 중 누군가가 식량을 따로 챙긴 것이었다...de생존자들 중 누군가가 말했다.de'똑같이 배분 받는 식량을 따로 챙기다니...d 범인을 색출하여 방출시켜야 합니다!'de 생존자들은 고민에 휩싸였다.,2,[범인을 색출하고 방출을 시킨다],T1,[범인을 찾지 않고 범인의 자백을 구해본다.],T2
간청,당신에게 누군가 급하게 찾아왔다.de젊은 부인은d '아이가 많아서 배급된 식량으로는 배가 차지 않는다고 합니다.de아이들을 위해 식량을 조금 더 배급해주시면 안될까요?' 라고 간청했다.de그녀의 곁에는d 딱 봐도 굶주린 아이들이 울고 있었다.d 어떻게 해야 할까?,2,[본인의 식량을 나눠주라고 말하면서 거절한다.],P1,[모두에게 말하고 식량을 조금 더 배급해준다.],P2
내부 분열,사소한 다툼이 커져서d 순식간에 폭력사태가 되는 사건이 발생했다.de가까스로 싸움을 막았지만^ d 피해자는 한동안 움직일 수 없는 부상을 입었고de가해자는 무기로 모두를 위협 하면서 분노를 감추지 못했다.de방공호 내 분위기는 점점 더 안 좋아지고d 누군가는 결정을 해야 했다...d,2,[위험요소를 제거한다.],D1,[가해자를 말로 설득하여 싸움을 해결한다.],D2
소동,새벽에 누군가가d 방공호 출입구에서 난동을 일으켜 모두가 잠에서 깼다.de그 생존자는 밖으로 나가야 한다면서 출입구로 향했고d 생존자들 모두가 그를 막는데 힘을 썼다.de가까스로 제압을 했지만^d 그 생존자는 위험을 초래할 뻔했고^d 정신 질환도 가지고 있는 듯하였다.de누군가는 그를 방출해야 된다고 분노했고^d 누군가는 관리를 통해 같이 살아가야 한다고 말했다.,2,[위험요소를 제거한다.],S1,[지속적인 관리를 통해 같이 살아간다.],S2
식량 확보,생존자 모두가 단결하여d 식량을 줄이기 시작했다.de굶주림은 계속 되었지만^d 계속되는 여정을 위하여 식량을 좀더 확보하게 되었다.,1,(식량 확보 + 10),F,,
분위기,생존자들 중 일부가 방공호를 개선하고^ 청결하게 유지하면서d 방공호 내 분위기가 살아났다.de적절한 휴식으로 모두가 희망을 가지면서d 노래를 부르거나 행복하게 지내고 있었다. ,1,(식량 확보 + 10),F,,
발견!,방공호 내부를 조사하다가 새로운 저장공간을 발견하였다.de그 곳에는 넉넉한 식량들이 있었고^d 생활공간도 늘어났다.de생존자 모두가 기뻐하면서 사용하기 시작했다.,1,(식량 확보 + 10),F,,
혼란,갑자기 일부 인원들이 비명을 지르며 울기 시작했다.de'우리는 다 죽을 것이며^ 더 이상 희망은 없다'라는 말을 되뇌이면서 오열하자^de생존자 모두가 위로하면서도d 혼란에 휩싸여 한동안 침울한 분위기가 계속되었다.,1,확   인,O,,
굶주림,오랜 기간 적절한 식량을 받지 못한 한 사람이 결국 싸늘하게 죽고 말았다.de생존자 모두가 경악하며 굶어 죽은 시체를 치웠다.de방공호에는 식량 배급에 대한 불만의 목소리와 씁쓸한 분위기가 지속되었다.,1,(생존자 1명 사망 *데모 버전에서는 사망하지 않습니다.),O,,
불편,노후된 시설과d 많은 사람들로 인해d 방공호의 시설들은 오염되어가고 있었다.de결국 생존자들 중 일부가 질병에 걸려서d 한동안 고생을 하게 되었다.de생존자들은 청결도를 유지하기 위해d 불평등한 조건으로 생활하게 하였다.de나약한 생존자들은 절망하고^d 서로가 불편한 생활들이 이어져 갔다.,1,확   인,O,,
공격,남의 식량을 가져가기 위해d 나약한 생존자를 공격하는 사건이 발생하였다.de생존자 대부분이 가해자를 비난했지만^d 누구도 직접 나와서 도와주지는 않았다.de비참한 현실에d 서로가 불신하고^ 절망하는 시간을 가지게 되었다.,1,확   인,O,,
